Feature id,Feature,Value,Source,Comment
GB068,"Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?",0,Huddleston and Pullum 2002: 527,
GB069,"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?",0,Huddleston and Pullum 2002: 527,
GB070,Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,0,Huddleston and Pullum 2002: 457,
GB071,Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,1,Huddleston and Pullum 2002: 425-429,"I vs me, they vs them etc."
GB072,Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?,0,Huddleston and Pullum 2002: 457,
GB073,Are there morphological cases for independent oblique personal pronominal arguments (i.e. not S/A/P)?,0,Huddleston and Pullum 2002: 425-429,There is a gentive case for independent pronouns
GB074,Are there prepositions?,1,"Huddleston and Pullum 2002: 598, 602-603",
GB075,Are there postpositions?,0,"Huddleston and Pullum 2002: 602,603",
GB079,"Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",0,"Huddleston and Pullum 2002: 74, 1596-1597, 1713","""The most salient uses of be- as a verbal prefix are to intensify (bespatter) and to form transitive verbs from intransitives (bemoan, besprinkle). """
GB080,"Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?",1,"Huddleston and Pullum 2002: 74, 1597","""The suffix -n’t is often mistaken for a reduced pronunciation of the word not. That is of course its etymology, but it is no longer an unstressed pronunciation of not\ in the contemporary language it is a verbal suffix. """
GB081,Is there productive infixation in verbs?,0,Huddleston and Pullum 2002: 74-201,
GB082,Is there overt morphological marking of present tense on verbs?,0,"Huddleston and Pullum 2002: 127, 1596",The regular form of verbs is their present tense form. Does 3rd person marker count?
GB083,Is there overt morphological marking on the verb dedicated to past tense?,1,"Huddleston and Pullum 2002: 28, 31, 137-139, 1596",Suppletion of the present tense verb form. As well as suffix '-ed.'
GB084,Is there overt morphological marking on the verb dedicated to future tense?,0,"Huddleston and Pullum 2002: 127-136, 208-210, 1596","""While there are numerous ways of indicating future time, there is no grammatical category that can properly be analysed as a future tense. More particularly we argue that will (and likewise shall) is an auxiliary of mood, not tense."""
GB086,Is a morphological distinction between perfective and imperfective aspect available on verbs?,0,"Huddleston and Pullum 2002: 92, 124, 139-145, 162",Shown through either auxiliaries or context.
GB089,Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?,1,"Huddleston and Pullum 2002: 85, 1463-1464, 1579","Only 3rd person mark A and S and through suffixes, P is never marked."
GB090,Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,"Huddleston and Pullum 2002: 1465-1467, 1596",See GB089 comment.
GB091,Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?,1,"Huddleston and Pullum 2002: 85, 1463-1464, 1579",See GB089 comment.
GB092,Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,"Huddleston and Pullum 2002: 1465-1467, 1579",See GB089 comment.
GB093,Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?,0,Huddleston and Pullum 2002: 1596,See GB089 comment.
GB094,Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?,0,Huddleston and Pullum 2002: 1596,See GB089 comment.
GB095,Are variations in marking strategies of core participants based on TAM distinctions?,1,"Huddleston and Pullum 2002: 74-210, 1463-1464, 1597",Note: only the 3sg is indexed on the verb.
GB096,Are variations in marking strategies of core participants based on verb classes?,0,"Huddleston and Pullum 2002: 74-210, 1599",
GB098,Are variations in marking strategies of core participants based on person distinctions?,1,"Huddleston and Pullum 2002: 426, 1463-1464",Personal pronouns have variations in flagging. The 2sg/pl pronouns and the 3sg neuter pronoun show neutral alignment. All other pronouns show NOM/ACC alignment.
GB099,Can verb stems alter according to the person of a core participant?,0,Huddleston and Pullum 2002: 74-210,
GB103,Is there a benefactive applicative marker on the verb (including indexing)?,0,Huddleston and Pullum 2002: 308-311,There are no bound applicative markers on the verbs in English.
GB104,Is there an instrumental applicative marker on the verb (including indexing)?,0,"Huddleston and Pullum 2002: 655, 670-671",See GB103 comment.
GB105,Can the recipient in a ditransitive construction be marked like the monotransitive patient?,1,"Huddleston and Pullum 2002: 248-251, 308-309","Ditransitive: ""I gave her the key"" vs Monotransitive ""I like her"". However some ditransitive verbs require the recipient to be headed by a preposition, commonly 'for' or 'to': ""I borrowed the money for her"""
GB107,"Can standard negation be marked by an affix, clitic or modification of the verb?",1,Huddleston and Pullum 2002: 799-801,"The contraction -n't is analysed as verbal suffix and not a reduced pronunciation of the word ""not"""
GB108,Is there directional or locative morphological marking on verbs?,0,"Huddleston and Pullum 2002: 257-258, 1596",
GB109,Is there verb suppletion for participant number?,0,Huddleston and Pullum 2002: 71-212,
GB110,Is there verb suppletion for tense or aspect?,1,Huddleston and Pullum 2002: 1607,
GB111,Are there conjugation classes?,1,Huddleston and Pullum 2002: 1607,
GB113,Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?,1,Huddleston and Pullum 2002: 1713,"""The most salient uses of be- as a verbal prefix are to intensify (bespatter) and to form transitive verbs from intransitives (bemoan, besprinkle). """
GB114,Is there a phonologically bound reflexive marker on the verb?,0,"Huddleston and Pullum 2002: 426, 1596-1597","""reflexive forms are not found outside the personal pronoun system."""
GB115,Is there a phonologically bound reciprocal marker on the verb?,0,"Huddleston and Pullum 2002: 74-201, 327, 1596-1597",
GB116,"Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?",0,Huddleston and Pullum 2002: 74-210,
GB117,Is there a copula for predicate nominals?,1,"Huddleston and Pullum 2002: 133, 266-272",
GB118,Are there serial verb constructions?,1,"Huddleston and Pullum 2002: 51, 103, 113",
GB119,"Can mood be marked by an inflecting word (""auxiliary verb"")?",1,Huddleston and Pullum 2002: 116,
GB120,"Can aspect be marked by an inflecting word (""auxiliary verb"")?",1,Huddleston and Pullum 2002: 117,
GB121,"Can tense be marked by an inflecting word (""auxiliary verb"")?",1,Huddleston and Pullum 2002: 116,
GB122,Is verb compounding a regular process?,0,"Huddleston and Pullum 2002: 71-212, 1652-1656","However, there are verb compounds with nouns (and a few with prepositions and adjectives): ""handshake"", ""runaway"", ""best-seller"""
GB123,Are there verb-adjunct (aka light-verb) constructions?,0,"Huddleston and Pullum 2002: 71-212, 1652-1656",
GB124,Is incorporation of nouns into verbs a productive intransitivizing process?,0,Huddleston and Pullum 2002: 71-115,
GB126,Is there an existential verb?,1,"Huddleston and Pullum 2002: 266, 407, 1392","The verb ""exist"" is different to the equative/attributive copular ""be"""
GB127,Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?,0,Huddleston and Pullum 2002: 71-212,
GB129,"Is there a notably small number, i.e. about 100 or less, of verb roots in the language?",0,Huddleston and Pullum 2002: 71-212,
GB130,What is the pragmatically unmarked order of S and V in intransitive clauses?,1,"Huddleston and Pullum 2002: 53, 216",
GB131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,0,"Huddleston and Pullum 2002: 53, 216",
GB132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,1,"Huddleston and Pullum 2002: 53, 216",
GB133,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,0,"Huddleston and Pullum 2002: 53, 216",
GB134,Is the order of constituents the same in main and subordinate clauses?,1,"Huddleston and Pullum 2002: 46, 53, 1011-1022",
GB135,Do clausal objects usually occur in the same position as nominal objects?,1,"Huddleston and Pullum 2002: 46, 53, 1011-1022",
GB136,Is the order of core argument (i.e. S/A/P) constituents fixed?,1,"Huddleston and Pullum 2002: 236, 244, 1372-1373, 1381-1386",
GB137,Can standard negation be marked clause-finally?,0,Huddleston and Pullum 2002: 796-849,
GB138,Can standard negation be marked clause-initially?,1,"Huddleston and Pullum 2002: 807-812, 844",
GB139,Is there a difference between imperative (prohibitive) and declarative negation constructions?,1,Huddleston and Pullum 2002: 802,The auxilliary 'do' appears in imperative but not declarative structures ie. Don't be afraid vs You aren't afraid
GB140,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?",1,"Huddleston and Pullum 2002: 90, 93, 605, 786-849","The negator 'not'. Note that verbal negation involves the addition of an auxiliary verb: ""*He saw not it"" vs ""He has not seen it"""
GB146,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,0,Huddleston and Pullum 2002: 234-235,"Although interesting to note that ""Verbs of emotion or psychological state fall into two main classes according to the way these roles (stimulus and experiencer) align with S and O"" - e.g 'We (S) enjoyed the show (O)' or 'The show (S) delighted us (O)'"
GB147,Is there a morphological passive marked on the lexical verb?,0,"Huddleston and Pullum 2002: 67-68, 77, 103-105",
GB148,Is there a morphological antipassive marked on the lexical verb?,0,"Huddleston and Pullum 2002: 67-68, 77, 103-105",
GB149,Is there a morphologically marked inverse on verbs?,0,Huddleston and Pullum 2002: 1596,
GB150,Is there clause chaining?,0,Huddleston and Pullum 2002: 949-990,
GB151,"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?",0,"Huddleston and Pullum 2002: 68-69, 949-1029",
GB152,Is there a morphologically marked distinction between simultaneous and sequential clauses?,0,"Huddleston and Pullum 2002: 128, 163, 166, 700-701",
GB155,Are causatives formed by affixes or clitics on verbs?,0,Huddleston and Pullum 2002: 1233-1236,
GB156,Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?,0,Huddleston and Pullum 2002: 1233-1236,
GB158,Are verbs reduplicated?,0,Huddleston and Pullum 2002: 1304-1305,"English can have repetition as shown in source pages, but not reduplication."
GB159,Are nouns reduplicated?,0,Huddleston and Pullum 2002: 326-523,
GB160,Are elements apart from verbs or nouns reduplicated?,0,"Huddleston and Pullum 2002: 561, 1304-1305",See GB158 comment.
GB165,Is there productive morphological trial marking on nouns?,0,Huddleston and Pullum 2002: 323-524,
GB166,Is there productive morphological paucal marking on nouns?,0,Huddleston and Pullum 2002: 323-524,
GB167,Is there a logophoric pronoun?,0,"Huddleston and Pullum 2002: 426, 1025, 1463-1472",
GB170,Can an adnominal property word agree with the noun in gender/noun class?,0,Huddleston and Pullum 2002: 527-530,
GB171,Can an adnominal demonstrative agree with the noun in gender/noun class?,0,"Huddleston and Pullum 2002: 373, 1504-1506",
GB172,Can an article agree with the noun in gender/noun class?,0,"Huddleston and Pullum 2002: 368, 371-372",
GB177,"Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?",0,Huddleston and Pullum 2002: 71-212,
GB184,Can an adnominal property word agree with the noun in number?,1,Huddleston and Pullum 2002: 349-354,
GB185,Can an adnominal demonstrative agree with the noun in number?,1,"Huddleston and Pullum 2002: 373, 1504-1506",
GB186,Can an article agree with the noun in number?,0,"Huddleston and Pullum 2002: 368-373, 384","Articles do not take number-agreement morphemes, however the indefinite article 'a' can only be used with ""count singular heads"", e.g. a chairs, *a chairs, *a furniture"
GB187,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?,1,Huddleston and Pullum 2002: 1678,"Mini- is a relatively new prefix, formed by clipping from miniature. Micro- is a combining form, as evident from its ability to form compounds with such final combining forms as cosm, meter, scope, phone. '-ie/-y' This is the most productive of the diminutive markers in Present-day English, especially in Scottish, Australian, and New Zealand varieties."
GB188,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?,1,Huddleston and Pullum 2002: 1679,"""Augmentatives typically indicate large size or high - often excessive - degree. In all the types presented below, the augmentative marker occupies initial position, whether as prefix or first component of a compound."""
GB192,Is there a gender system where a noun's phonological properties are a factor in class assignment?,0,Huddleston and Pullum 2002: 485,
GB193,What is the order of adnominal property word and noun?,1,Huddleston and Pullum 2002: 452-455,
GB196,Is there a male/female distinction in 2nd person independent pronouns?,0,Huddleston and Pullum 2002: 426,
GB197,Is there a male/female distinction in 1st person independent pronouns?,0,Huddleston and Pullum 2002: 426,
GB198,Can an adnominal numeral agree with the noun in gender/noun class?,0,"Huddleston and Pullum 2002: 416, 485-499, 1718",
GB203,What is the order of the adnominal collective universal quantifier ('all') and the noun?,3,"Huddleston and Pullum 2002: 345-347, 358-359, 375",
GB204,Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?,1,Huddleston and Pullum 2002: 377,
GB250,Can predicative possession be expressed with a transitive 'habeo' verb?,1,"Huddleston and Pullum 2002: 111-112, 474",
GB252,Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?,0,"Huddleston and Pullum 2002: 111-112, 474",
GB253,Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?,0,"Huddleston and Pullum 2002: 111-112, 474",
GB254,Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?,0,"Huddleston and Pullum 2002: 111-112, 474",
GB256,Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?,0,"Huddleston and Pullum 2002: 111-112, 474",
GB257,Can polar interrogation be marked by intonation only?,1,"Huddleston and Pullum 2002: 868, 890",
GB260,Can polar interrogation be indicated by a special word order?,1,"Huddleston and Pullum 2002: 762, 1427",
GB262,Is there a clause-initial polar interrogative particle?,0,Huddleston and Pullum 2002: 868-272,
GB263,Is there a clause-final polar interrogative particle?,0,Huddleston and Pullum 2002: 868-272,
GB264,Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?,0,Huddleston and Pullum 2002: 868-272,
GB265,"Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?",1,"Huddleston and Pullum 2002: 1128-1129, 1679","Prefix 'out' eg. ""outclass"", ""outdistance"" ""outrun"" One use of out- is to produce compound transitive verbs incorporating a comparative meaning of “exceed, surpass”."
GB266,Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?,0,Huddleston and Pullum 2002: 1099-1106,
GB270,Can comparatives be expressed using two conjoined clauses?,0,Huddleston and Pullum 2002: 1106,
GB273,Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?,1,"Huddleston and Pullum 2002: 1104, 1122-1160",
GB275,Is there a bound comparative degree marker on the property word in a comparative construction?,1,Huddleston and Pullum 2002: 1107,"suffix ""-er"""
GB276,Is there a non-bound comparative degree marker modifying the property word in a comparative construction?,0,Huddleston and Pullum 2002: 1107,Marker is bound
GB285,Can polar interrogation be marked by a question particle and verbal morphology?,0,Huddleston and Pullum 2002: 868-872,
GB286,Can polar interrogation be indicated by overt verbal morphology only?,0,Huddleston and Pullum 2002: 868-872,
GB291,Can polar interrogation be marked by tone?,0,Huddleston and Pullum 2002: 868-872,
GB296,Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?,0,Huddleston and Pullum 2002: 318,"Not labelled as ideophones, not a definable class."
GB297,Can polar interrogation be indicated by a V-not-V construction?,0,"Huddleston and Pullum 2002: 848, 1530","There is a construction in which the auxiliary verb is repeated and negated: ""He has written is, hasn't he?""."
GB298,"Can standard negation be marked by an inflecting word (""auxiliary verb"")?",0,Huddleston and Pullum 2002: 799,"The negator can be used in conjunction with auxiliaries, but is not itself one"
GB299,"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?",1,"Huddleston and Pullum 2002: 807, 812-815",
GB300,Does the verb for 'give' have suppletive verb forms?,0,"Huddleston and Pullum 2002: 1599, 1606","Weak suppletion: 'give' (present), 'gave' (preterite), 'given' (past participle)"
GB301,Is there an inclusory construction?,0,Huddleston and Pullum 2002: 1463-1472,
GB302,"Is there a phonologically free passive marker (""particle"" or ""auxiliary"")?",1,"Huddleston and Pullum 2002: 67-68, 77, 103-105",
GB303,"Is there a phonologically free antipassive marker (""particle"" or ""auxiliary"")?",0,"Huddleston and Pullum 2002: 67-68, 77, 103-105",
GB304,Can the agent be expressed overtly in a passive clause?,1,"Huddleston and Pullum 2002: 67-68, 246",
GB305,Is there a phonologically independent reflexive pronoun?,1,Huddleston and Pullum 2002: 1483-1484,
GB306,Is there a phonologically independent non-bipartite reciprocal pronoun?,0,Huddleston and Pullum 2002: 1485,Reciprocal pronouns are each other and one another
GB309,"Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?",0,Huddleston and Pullum 2002: 125-210,There are multiple ways of encoding deictic of encoding distance from alternate points in time but only a single past and a singlefuture (in productive terms) as relates to the time of reference
GB312,Is there overt morphological marking on the verb dedicated to mood?,0,"Huddleston and Pullum 2002: 71-212, 1596",
GB313,Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?,1,Huddleston and Pullum 2002: 471,
GB314,Can augmentative meaning be expressed productively by a shift of gender/noun class?,0,Huddleston and Pullum 2002: 485-499,
GB315,Can diminutive meaning be expressed productively by a shift of gender/noun class?,0,Huddleston and Pullum 2002: 485-499,
GB316,Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?,0,"Huddleston and Pullum 2002: 340, 1585",
GB317,Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?,0,"Huddleston and Pullum 2002: 340, 1585",
GB318,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?,0,"Huddleston and Pullum 2002: 340, 1585",
GB319,Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?,0,"Huddleston and Pullum 2002: 340, 1585",
GB320,Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?,0,Huddleston and Pullum 2002: 391-392,"The grammar identifies a 'paucal determinative' (391-392), but this is clearly not obligatory."
GB321,Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?,0,Huddleston and Pullum 2002: 485-499,
GB322,Is there grammatical marking of direct evidence (perceived with the senses)?,0,"Huddleston and Pullum 2002: 131, 71-212",
GB323,"Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?",0,"Huddleston and Pullum 2002: 131, 71-212",
GB324,"Is there an interrogative verb for content interrogatives (who?, what?, etc.)?",0,Huddleston and Pullum 2002: 902-917,
GB325,Is there a count/mass distinction in interrogative quantifiers?,1,Huddleston and Pullum 2002: 908,
GB326,Do (nominal) content interrogatives normally or frequently occur in situ?,0,"Huddleston and Pullum 2002: 873, 902-917","Although fronting is not obligatory, ""She took which car?"", it is usually reserved for contexts of sustained questioning such as legal interrogations."
GB327,Can the relative clause follow the noun?,1,Huddleston and Pullum 2002: 63-64,
GB328,Can the relative clause precede the noun?,0,"Huddleston and Pullum 2002: 63-64, 331",
GB329,Are there internally-headed relative clauses?,0,"Huddleston and Pullum 2002: 63-64, 1033-1095",
GB330,Are there correlative relative clauses?,0,"Huddleston and Pullum 2002: 63-64, 1033-1095",
GB331,Are there non-adjacent relative clauses?,1,"Huddleston and Pullum 2002: 63-64, 1066",
GB333,Is there a decimal numeral system?,1,Huddleston and Pullum 2002: 1716,"The suffix -ty, which indicates a multiple of ten, is phonologically similar to the numeral ""ten"" although the author does not address this"
GB334,Is there synchronic evidence for any element of a quinary numeral system?,0,Huddleston and Pullum 2002: 1715-1716,
GB335,Is there synchronic evidence for any element of a vigesimal numeral system?,0,Huddleston and Pullum 2002: 1715-1716,
GB336,Is there a body-part tallying system?,0,Huddleston and Pullum 2002: 1715-1716,
GB400,"Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?",1,"Huddleston and Pullum 2002: 74-201, 1579","Person indexing only on 3SG present, and with help of auxilliary 'to be'"
GB401,Is there a class of patient-labile verbs?,1,"Huddleston and Pullum 2002: 35, 296, 306-307",
GB402,Does the verb for 'see' have suppletive verb forms?,0,"Huddleston and Pullum 2002: 1599, 1606","Weak suppletion: 'see' (present), 'saw' (preterite), 'seen' (past participle)"
GB403,Does the verb for 'come' have suppletive verb forms?,0,"Huddleston and Pullum 2002: 1599, 1604","Weak suppletion: 'come' (present), 'came' (preterite)"
GB408,Is there any accusative alignment of flagging?,1,"Huddleston and Pullum 2002: 237, 426",
GB409,Is there any ergative alignment of flagging?,0,"Huddleston and Pullum 2002: 426, 457",
GB410,Is there any neutral alignment of flagging?,1,"Huddleston and Pullum 2002: 426, 457",
GB415,Is there a politeness distinction in 2nd person forms?,0,"Huddleston and Pullum 2002: 426, 1465",
GB421,Is there a preposed complementizer in complements of verbs of thinking and/or knowing?,1,Huddleston and Pullum 2002: 951-953,
GB422,Is there a postposed complementizer in complements of verbs of thinking and/or knowing?,0,Huddleston and Pullum 2002: 951-953,
GB430,Can adnominal possession be marked by a prefix on the possessor?,0,Huddleston and Pullum 2002: 474-478,
GB431,Can adnominal possession be marked by a prefix on the possessed noun?,0,Huddleston and Pullum 2002: 474-478,
GB432,Can adnominal possession be marked by a suffix on the possessor?,1,Huddleston and Pullum 2002: 474-478,
GB433,Can adnominal possession be marked by a suffix on the possessed noun?,0,Huddleston and Pullum 2002: 474-478,
GB519,"Can mood be marked by a non-inflecting word (""auxiliary particle"")?",1,"Huddleston and Pullum 2002: 50, 52, 74-75",
GB520,"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?",0,Huddleston and Pullum 2002: 74-75,
GB521,"Can tense be marked by a non-inflecting word (""auxiliary particle"")?",0,"Huddleston and Pullum 2002: 74-75, 125-148",
GB522,"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?",0,"Huddleston and Pullum 2002: 350, 503,1281,1501",
